"","id2","totalPop17","age65_17","ageMed_17","totalPop12","percage65_12","ageMed_12","age65_12","totalChange","age65Change","percentChange","age65ChangeZ","percentChangeZ","age65_index"
"2717","48387",12353,2874,45.6,12795,21.1,44.5,2700,-442,174,6.44,-0.3,-0.57,-0.462
"2718","48389",14791,1896,35.4,13606,15.1,36.4,2055,1185,-159,-7.74,-0.35,-1.74,-1.184
"2719","48391",7293,1536,42.3,7352,19.5,43.7,1434,-59,102,7.11,-0.31,-0.52,-0.436
"2720","48393",889,184,37.8,992,14.7,41.9,146,-103,38,26.03,-0.32,1.03,0.49
"2721","48395",16727,3028,41.4,16596,17.5,40.7,2904,131,124,4.27,-0.31,-0.75,-0.574
"2722","48397",90414,10576,37.2,78749,9.7,35.8,7639,11665,2937,38.45,0.1,2.05,1.27
"2723","48399",10266,2094,41.1,10473,19.7,43.1,2063,-207,31,1.5,-0.32,-0.98,-0.716
"2724","48401",53026,8412,38.5,53211,14.5,39.3,7716,-185,696,9.02,-0.22,-0.36,-0.304
"2725","48403",10429,3119,52.1,10642,26.8,50.2,2852,-213,267,9.36,-0.29,-0.33,-0.314
"2726","48405",8403,2057,48.9,8898,23.4,47.6,2082,-495,-25,-1.2,-0.33,-1.2,-0.852
"2727","48407",27436,5582,44.2,26482,17.3,43,4581,954,1001,21.85,-0.18,0.69,0.342
